playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
loewead01,1984.0,Adam,Loewen,235.0,78.0,L,L,2006-05-23
loeweca01,1973.0,Carlton,Loewer,220.0,78.0,R,R,1998-06-14
loftoja01,1974.0,James,Lofton,170.0,70.0,B,R,2001-09-19
loftoke01,1967.0,Kenny,Lofton,180.0,72.0,L,L,1991-09-14
loganbo02,1984.0,Boone,Logan,215.0,77.0,R,L,2006-04-04
loganno01,1979.0,Nook,Logan,180.0,74.0,B,R,2004-07-21
lohseky01,1978.0,Kyle,Lohse,215.0,74.0,R,R,2001-06-22
loiseri01,1972.0,Rich,Loiselle,225.0,77.0,R,R,1996-09-07
lollati01,1956.0,Tim,Lollar,200.0,75.0,L,L,1980-06-28
lolliry01,1986.0,Ryan,Lollis,185.0,74.0,L,L,2015-07-04
lomando01,1958.0,Doug,Loman,185.0,71.0,L,L,1984-09-03
lomasst01,1977.0,Steve,Lomasney,185.0,72.0,R,R,1999-10-03
lombage01,1975.0,George,Lombard,208.0,72.0,L,R,1998-09-04
lombaph01,1963.0,Phil,Lombardi,200.0,74.0,R,R,1986-04-26
lombast01,1960.0,Steve,Lombardozzi,175.0,72.0,R,R,1985-07-12
lombast02,1988.0,Steve,Lombardozzi,200.0,72.0,B,R,2011-09-06
lomonke01,1971.0,Kevin,Lomon,195.0,73.0,R,R,1995-04-27
loneyja01,1984.0,James,Loney,235.0,75.0,L,L,2006-04-04
longbi01,1960.0,Bill,Long,185.0,72.0,R,R,1985-07-21
longbo01,1954.0,Bob,Long,178.0,75.0,R,R,1981-09-02
longjo01,1970.0,Joey,Long,220.0,74.0,R,L,1997-04-25
longmto01,1968.0,Tony,Longmire,197.0,73.0,L,R,1993-09-03
longoev01,1985.0,Evan,Longoria,210.0,74.0,R,R,2008-04-12
longry01,1973.0,Ryan,Long,215.0,74.0,R,R,1997-07-16
longte01,1976.0,Terrence,Long,190.0,73.0,L,L,1999-04-14
loonebr01,1969.0,Brian,Looney,180.0,70.0,L,L,1993-09-26
loopeaa01,1976.0,Aaron,Looper,180.0,74.0,R,R,2003-08-02
loopebr01,1974.0,Braden,Looper,210.0,76.0,R,R,1998-03-31
lopesda01,1945.0,Davey,Lopes,170.0,69.0,R,R,1972-09-22
lopezal02,1971.0,Albie,Lopez,240.0,74.0,R,R,1993-07-06
lopezaq01,1975.0,Aquilino,Lopez,185.0,75.0,R,R,2003-04-02
lopezar02,1983.0,Arturo,Lopez,165.0,69.0,L,L,2009-04-29
lopezau01,1948.0,Aurelio,Lopez,185.0,72.0,R,R,1974-09-01
lopezfe01,1980.0,Felipe,Lopez,205.0,72.0,B,R,2001-08-03
lopezja01,1970.0,Javy,Lopez,185.0,75.0,R,R,1992-09-18
lopezja02,1977.0,Javier,Lopez,220.0,76.0,L,L,2003-04-01
lopezjo01,1983.0,Jose,Lopez,205.0,72.0,R,R,2004-07-31
lopezjo02,1993.0,Jorge,Lopez,190.0,75.0,R,R,2015-09-29
lopezlu01,1964.0,Luis,Lopez,190.0,73.0,R,R,1990-09-14
lopezlu02,1970.0,Luis,Lopez,175.0,71.0,B,R,1993-09-07
lopezlu03,1973.0,Luis,Lopez,205.0,72.0,R,R,2001-04-29
lopezme01,1973.0,Mendy,Lopez,200.0,74.0,R,R,1998-06-03
lopezmi01,1973.0,Mickey,Lopez,170.0,69.0,B,R,2004-09-06
lopezpe01,1984.0,Pedro,Lopez,190.0,73.0,R,R,2005-05-01
lopezra02,1987.0,Rafael,Lopez,200.0,69.0,L,R,2014-09-02
lopezwi01,1983.0,Wilton,Lopez,200.0,72.0,R,R,2009-08-28
lorenmi01,1992.0,Michael,Lorenzen,205.0,75.0,R,R,2015-04-29
loretma01,1971.0,Mark,Loretta,175.0,72.0,R,R,1995-09-04
lorraan01,1972.0,Andrew,Lorraine,195.0,75.0,L,L,1994-07-17
loucksc01,1956.0,Scott,Loucks,178.0,72.0,R,R,1980-09-01
loughda01,1986.0,David,Lough,175.0,70.0,L,L,2012-09-01
loupaa01,1987.0,Aaron,Loup,205.0,71.0,L,L,2012-07-14
louxsh01,1979.0,Shane,Loux,225.0,74.0,R,R,2002-09-10
lovelva01,1963.0,Vance,Lovelace,205.0,77.0,L,L,1988-09-10
